GRUPO;DATA;DIA_EXPERIMENTO;ID_ANIMAL;DIETA;TRATAMENTO;PERIODO;HORA;TEMPERATURA_ANIMAL
1;27/07/2017;19;2416;2;2;1;00:31;39,00
1;27/07/2017;19;2416;2;2;1;01:01;39,00
1;27/07/2017;19;2416;2;2;1;01:31;38,88
1;27/07/2017;19;2416;2;2;1;02:01;39,00
1;27/07/2017;19;2416;2;2;1;02:31;39,13
1;27/07/2017;19;2416;2;2;1;03:01;39,00
1;27/07/2017;19;2416;2;2;1;03:31;39,13
1;27/07/2017;19;2416;2;2;1;04:01;39,25
1;27/07/2017;19;2416;2;2;1;04:31;39,38
1;27/07/2017;19;2416;2;2;1;05:01;39,13
1;27/07/2017;19;2416;2;2;1;05:31;39,00
1;27/07/2017;19;2416;2;2;1;06:01;39,00
1;27/07/2017;19;2416;2;2;1;06:31;38,88
1;27/07/2017;19;2416;2;2;1;07:01;38,88
1;27/07/2017;19;2416;2;2;1;07:31;38,88
1;27/07/2017;19;2416;2;2;1;08:01;39,00
1;27/07/2017;19;2416;2;2;1;08:31;39,13
1;27/07/2017;19;2416;2;2;1;09:01;39,25
1;27/07/2017;19;2416;2;2;1;09:31;39,38
1;27/07/2017;19;2416;2;2;1;10:01;39,13
1;27/07/2017;19;2416;2;2;1;10:31;39,25
1;27/07/2017;19;2416;2;2;1;11:31;39,25
1;27/07/2017;19;2416;2;2;1;12:01;39,13
1;27/07/2017;19;2416;2;2;1;12:31;39,38
1;27/07/2017;19;2416;2;2;1;13:01;39,13
1;27/07/2017;19;2416;2;2;1;13:31;39,00
1;27/07/2017;19;2416;2;2;1;14:01;39,25
1;27/07/2017;19;2416;2;2;1;14:31;39,50
1;27/07/2017;19;2416;2;2;1;15:01;39,50
1;27/07/2017;19;2416;2;2;1;15:31;39,88
1;27/07/2017;19;2416;2;2;1;16:01;39,75
1;27/07/2017;19;2416;2;2;1;16:31;39,63
1;27/07/2017;19;2416;2;2;1;17:01;39,38
1;27/07/2017;19;2416;2;2;1;17:31;39,13
1;27/07/2017;19;2416;2;2;1;18:01;39,25
1;27/07/2017;19;2416;2;2;1;18:31;39,00
1;27/07/2017;19;2416;2;2;1;19:01;39,13
1;27/07/2017;19;2416;2;2;1;19:31;39,00
1;27/07/2017;19;2416;2;2;1;20:01;39,25
1;27/07/2017;19;2416;2;2;1;20:31;39,63
1;27/07/2017;19;2416;2;2;1;21:01;39,50
1;27/07/2017;19;2416;2;2;1;21:31;39,38
1;27/07/2017;19;2416;2;2;1;22:01;39,13
1;27/07/2017;19;2416;2;2;1;22:31;39,13
1;27/07/2017;19;2416;2;2;1;23:01;39,13
1;27/07/2017;19;2416;2;2;1;23:31;39,13
1;28/07/2017;20;2416;2;2;1;00:01;39,00
1;28/07/2017;20;2416;2;2;1;00:31;39,00
1;28/07/2017;20;2416;2;2;1;01:01;39,13
1;28/07/2017;20;2416;2;2;1;01:31;39,13
1;28/07/2017;20;2416;2;2;1;02:01;39,13
1;28/07/2017;20;2416;2;2;1;02:31;38,88
1;28/07/2017;20;2416;2;2;1;03:01;38,75
1;28/07/2017;20;2416;2;2;1;03:31;38,88
1;28/07/2017;20;2416;2;2;1;04:01;39,00
1;28/07/2017;20;2416;2;2;1;04:31;38,88
1;28/07/2017;20;2416;2;2;1;05:01;38,88
1;28/07/2017;20;2416;2;2;1;05:31;39,00
1;28/07/2017;20;2416;2;2;1;06:01;38,75
1;28/07/2017;20;2416;2;2;1;06:31;38,88
1;28/07/2017;20;2416;2;2;1;07:01;39,13
1;28/07/2017;20;2416;2;2;1;07:31;39,25
1;28/07/2017;20;2416;2;2;1;08:01;39,00
1;28/07/2017;20;2416;2;2;1;08:31;39,25
1;28/07/2017;20;2416;2;2;1;09:01;39,50
1;28/07/2017;20;2416;2;2;1;09:31;39,50
1;28/07/2017;20;2416;2;2;1;10:01;39,38
1;28/07/2017;20;2416;2;2;1;10:31;38,88
1;28/07/2017;20;2416;2;2;1;11:01;38,75
1;28/07/2017;20;2416;2;2;1;11:31;38,88
1;28/07/2017;20;2416;2;2;1;12:01;39,00
1;28/07/2017;20;2416;2;2;1;12:31;39,38
1;28/07/2017;20;2416;2;2;1;13:01;39,50
1;28/07/2017;20;2416;2;2;1;13:31;39,38
1;28/07/2017;20;2416;2;2;1;14:01;39,00
1;28/07/2017;20;2416;2;2;1;14:31;39,00
1;28/07/2017;20;2416;2;2;1;15:01;39,13
1;28/07/2017;20;2416;2;2;1;15:31;39,13
1;28/07/2017;20;2416;2;2;1;16:01;39,25
1;28/07/2017;20;2416;2;2;1;16:31;39,13
1;28/07/2017;20;2416;2;2;1;17:01;39,38
1;28/07/2017;20;2416;2;2;1;17:31;39,38
1;28/07/2017;20;2416;2;2;1;18:01;39,13
1;28/07/2017;20;2416;2;2;1;18:31;39,00
1;28/07/2017;20;2416;2;2;1;19:01;38,88
1;28/07/2017;20;2416;2;2;1;19:31;39,13
1;28/07/2017;20;2416;2;2;1;20:01;39,25
1;28/07/2017;20;2416;2;2;1;20:31;39,38
1;28/07/2017;20;2416;2;2;1;21:01;39,50
1;28/07/2017;20;2416;2;2;1;21:31;39,38
1;28/07/2017;20;2416;2;2;1;22:01;39,13
1;28/07/2017;20;2416;2;2;1;22:31;39,13
1;28/07/2017;20;2416;2;2;1;23:01;39,25
1;28/07/2017;20;2416;2;2;1;23:31;39,13
1;29/07/2017;21;2416;2;2;1;00:01;38,88
1;29/07/2017;21;2416;2;2;1;00:31;38,88
1;29/07/2017;21;2416;2;2;1;01:01;39,00
1;29/07/2017;21;2416;2;2;1;01:31;38,88
1;29/07/2017;21;2416;2;2;1;02:01;39,00
1;29/07/2017;21;2416;2;2;1;02:31;39,00
1;29/07/2017;21;2416;2;2;1;03:01;39,13
1;29/07/2017;21;2416;2;2;1;03:31;39,38
1;29/07/2017;21;2416;2;2;1;04:01;39,38
1;29/07/2017;21;2416;2;2;1;04:31;39,13
1;29/07/2017;21;2416;2;2;1;05:01;39,00
1;29/07/2017;21;2416;2;2;1;05:31;38,88
1;29/07/2017;21;2416;2;2;1;06:01;38,88
1;29/07/2017;21;2416;2;2;1;06:31;39,00
1;29/07/2017;21;2416;2;2;1;07:01;39,13
1;29/07/2017;21;2416;2;2;1;07:31;39,25
1;29/07/2017;21;2416;2;2;1;08:01;39,13
1;29/07/2017;21;2416;2;2;1;08:31;39,38
1;29/07/2017;21;2416;2;2;1;09:01;39,13
1;29/07/2017;21;2416;2;2;1;09:31;38,88
1;29/07/2017;21;2416;2;2;1;10:01;38,88
1;29/07/2017;21;2416;2;2;1;10:31;39,25
1;29/07/2017;21;2416;2;2;1;11:01;39,13
1;29/07/2017;21;2416;2;2;1;11:31;39,00
1;29/07/2017;21;2416;2;2;1;12:01;39,38
1;29/07/2017;21;2416;2;2;1;12:31;39,75
1;29/07/2017;21;2416;2;2;1;13:01;39,50
1;29/07/2017;21;2416;2;2;1;13:31;39,25
1;29/07/2017;21;2416;2;2;1;14:01;39,00
1;29/07/2017;21;2416;2;2;1;14:31;39,25
1;29/07/2017;21;2416;2;2;1;15:01;39,13
1;29/07/2017;21;2416;2;2;1;15:31;39,13
1;29/07/2017;21;2416;2;2;1;16:01;39,00
1;29/07/2017;21;2416;2;2;1;16:31;39,13
1;29/07/2017;21;2416;2;2;1;17:01;39,50
1;29/07/2017;21;2416;2;2;1;17:31;39,50
1;29/07/2017;21;2416;2;2;1;18:01;39,25
1;29/07/2017;21;2416;2;2;1;18:31;39,13
1;29/07/2017;21;2416;2;2;1;19:01;39,25
1;29/07/2017;21;2416;2;2;1;19:31;39,25
1;29/07/2017;21;2416;2;2;1;20:01;39,38
1;29/07/2017;21;2416;2;2;1;20:31;39,13
1;29/07/2017;21;2416;2;2;1;21:01;39,25
1;29/07/2017;21;2416;2;2;1;21:31;39,50
1;29/07/2017;21;2416;2;2;1;22:01;39,63
1;29/07/2017;21;2416;2;2;1;22:31;39,50
1;29/07/2017;21;2416;2;2;1;23:01;39,75
1;29/07/2017;21;2416;2;2;1;23:31;39,88
1;30/07/2017;22;2416;2;2;1;00:01;39,75
1;30/07/2017;22;2416;2;2;1;00:31;39,38
1;30/07/2017;22;2416;2;2;1;01:01;39,25
1;30/07/2017;22;2416;2;2;1;01:31;39,25
1;30/07/2017;22;2416;2;2;1;02:01;39,25
1;30/07/2017;22;2416;2;2;1;02:31;39,25
1;30/07/2017;22;2416;2;2;1;03:01;39,63
1;30/07/2017;22;2416;2;2;1;03:31;39,25
1;30/07/2017;22;2416;2;2;1;04:01;39,38
1;30/07/2017;22;2416;2;2;1;04:31;39,13
1;30/07/2017;22;2416;2;2;1;05:01;39,25
1;30/07/2017;22;2416;2;2;1;05:31;39,25
1;30/07/2017;22;2416;2;2;1;06:01;39,13
1;30/07/2017;22;2416;2;2;1;06:31;39,00
1;30/07/2017;22;2416;2;2;1;07:01;39,00
1;30/07/2017;22;2416;2;2;1;07:31;39,13
1;30/07/2017;22;2416;2;2;1;08:01;38,75
1;30/07/2017;22;2416;2;2;1;08:31;38,88
1;30/07/2017;22;2416;2;2;1;09:01;38,88
1;30/07/2017;22;2416;2;2;1;09:31;39,00
1;30/07/2017;22;2416;2;2;1;10:01;39,00
1;30/07/2017;22;2416;2;2;1;10:31;39,00
1;30/07/2017;22;2416;2;2;1;11:01;39,00
1;30/07/2017;22;2416;2;2;1;12:01;38,88
1;30/07/2017;22;2416;2;2;1;12:31;38,88
1;30/07/2017;22;2416;2;2;1;13:01;38,88
